John S. Atkinson,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
Romualdo Pastor-Satorras,"Departament de Física i Enginyeria Nuclear, Universitat Politècnica de Catalunya, Polytechnic University of Catalonia, Campus Nord B4, 08034 Barcelona, Spain"
Vincent Chua,"National University of Singapore, Department of Sociology, 11 Arts Link, #04-27, Singapore 117570, Singapore"
Mathew Mathews,"Lee Kuan Yew School of Public Policy, 1C Cluny Road House 5, Singapore 259599, Singapore"
Yi Cheng Loh,"University of Cambridge, Department of Sociology, United Kingdom"
Pádraig Mac Carron,"SENRG, Department of Experimental Psychology, University of Oxford, OX1 3UD United Kingdom"
Kimmo Kaski,"Department of Computer Science, Aalto University School of Science, P.O. Box 15500, Espoo, Finland"
Robin Dunbar,"SENRG, Department of Experimental Psychology, University of Oxford, OX1 3UD United Kingdom"
Alex D. Stivala,"Melbourne School of Psychological Sciences, The University of Melbourne, Australia"
David A. Rolls,"Melbourne School of Psychological Sciences, The University of Melbourne, Australia"
Christina Prell,"Geographical Sciences Department, MD, USA"
Kuishuang Feng,"Geographical Sciences Department, University of Maryland - College Park, College Park, MD, USA"
George Wood,"Department of Sociology, University of Oxford, UK"
Emmanuel Lazega,"Institut d'Etudes Politiques de Paris, Centre de Sociologie des Organisations, 19 rue Amélie, 75007 Paris, France"
Sandrine Casenaz,"CSO, Sciences Po, Paris, France"
Matilde Massó,"Department of Sociology, Political Science and Public Administration, Universidade da Coruña, Campus Elviña s/n, Facultade de Socioloxía, 15071 A Coruña, Spain"
Alejandro Arnulfo Ruiz-León,"Laboratorio de Redes, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, National Autonomous University of Mexico, Ciudad Universitaria, 04510 Ciudad de Mexico, Mexico"
Tobias H. Stark,"Utrecht University/ICS, Padualaan 14, 3584 CH Utrecht, The Netherlands"
Jon A. Krosnick,"Stanford University, 450 Serra Mall, Stanford, CA 94305, United States"
Anja Znidarsic,"University of Maribor, Faculty of Organizational Sciences, Kidričeva 55a, 4000 Kranj, Slovenia"
Anuska Ferligoj,"University of Ljubljana, Faculty of Social Sciences, Kardeljeva ploščad 5, 1000 Ljubljana, Slovenia"
Lucas G. Drouhot,"Cornell University, United States"
Jeffrey A. Smith,"University of Nebraska-Lincoln, United States"
James Moody,"Duke University, United States"
Jonathan H. Morgan,"Duke University, United States"
Sandra Cristina Oliveira,"Universidade Estadual Paulista, 17602-496 Tupã, SP, Brazil"
Juliana Cobre,"Universidade de São Paulo, USP, 13560-970 São Carlos, SP, Brazil"
Taiane de Paula Ferreira,"Universidade Estadual Paulista, 17602-496 Tupã, SP, Brazil"
Domenico Brunetto,"MOX, Department of Mathematics, Politecnico di Milano, Milan, Italy"
Nicholas Harrigan,"School of Social Sciences, Singapore Management University, 90 Stamford Road, Level 4, Singapore 178903, Singapore"
Janice Yap,"School of Social Sciences, Singapore Management University, 90 Stamford Road, Level 4, Singapore 178903, Singapore"
Patrick S. Park,"Department of Sociology, 323 Uris Hall, Cornell University, Ithaca, NY 14853, United States"
Yong-Hak Kim,"Department of Sociology Widang, Hall #502, Yonsei University, 50 Yonsei-ro, Seodaemun-gu, Seoul 120-749, South Korea"
Holly B. Shakya,"School of Medicine, University of California - San Diego, 9500 Gilman Dr., La Jolla, CA 92093, United States"
Nicholas A. Christakis,"Yale Institute for Network Science, PO Box 208263, New Haven, CT 06520, United States"
James H. Fowler,"School of Medicine, University of California - San Diego, 9500 Gilman Dr., La Jolla, CA 92093, United States"
Vicki Stover Hertzberg,"Department of Biostatistics and Bioinformatics, Emory University, Atlanta, GA, United States"
Jason Baumgardner,"Department of Biostatistics and Bioinformatics, Emory University, Atlanta, GA, United States"
C. Christina Mehta,"Department of Biostatistics and Bioinformatics, Emory University, Atlanta, GA, United States"
Lisa K. Elon,"Department of Biostatistics and Bioinformatics, Emory University, Atlanta, GA, United States"
George Cotsonis,"Department of Biostatistics and Bioinformatics, Emory University, Atlanta, GA, United States"
Douglas W. Lowery-North,"Department of Emergency Medicine, Emory University, Atlanta, GA, United States"
Joel Martí,"Department of Sociology, Centre d'Estudis Sociològics sobre la Vida Quotidiana i el Treball (QUIT), Institut d'Estudis del Treball (IET), Universitat Autònoma de Barcelona, Autonomous University of Barcelona, Spain"
Mireia Bolíbar,"Institute for Sociology, University of Bremen, Germany"
Carlos Lozares,"Department of Sociology, Centre d'Estudis Sociològics sobre la Vida Quotidiana i el Treball (QUIT), Institut d'Estudis del Treball (IET), Universitat Autònoma de Barcelona, Autonomous University of Barcelona, Spain"
Stefano Nasini,"IESEG School of Management (LEM CNRS 9221), Lille/Paris, France"
Víctor Martínez-de-Albéniz,"IESE Business School, University of Navarra, Barcelona, Spain. Supported by the European Research Council –Ref. ERC-2011-StG 283300-REACTOPS and by the Spanish Ministry of Economics and Competitiveness (Ministerio de Economía y Competitividad) – Ref. ECO2014-59998-P"
Tahereh Dehdarirad,"University of Barcelona, Barcelona, Spain"
Dino Dittrich,"Department of Methodology and Statistics, Tilburg University, Postbus 90153, 5000 LE Tilburg, The Netherlands"
Roger Th. A. J. Leenders,"Department of Organization Studies, Tilburg University, The Netherlands"
Joris Mulder,"Department of Methodology and Statistics, Tilburg University, Postbus 90153, 5000 LE Tilburg, The Netherlands"
Karl Finger,"Institute for Quantitative Business and Economics Research (QBER), University of Kiel, Heinrich-Hecht-Platz 9, 24118 Kiel, Germany"
Thomas Lux,"Department of Economics, University of Kiel, Olshausenstr. 40, 24118 Kiel, Germany"
Gregory Lee Phillips II,"Northwestern University, Feinberg School of Medicine, Department of Medical Social Sciences, 625N. Michigan Ave., Chicago, IL 60611, USA"
Patrick Janulis,"Northwestern University, Feinberg School of Medicine, Department of Medical Social Sciences, 625N. Michigan Ave., Chicago, IL 60611, USA"
Brian S. Mustanski,"Northwestern University, Feinberg School of Medicine, Department of Medical Social Sciences, 625N. Michigan Ave., Chicago, IL 60611, USA"
Michelle Birkett,"Northwestern University, Feinberg School of Medicine, Department of Medical Social Sciences, 625N. Michigan Ave., Chicago, IL 60611, USA"
J. Santana,"Stanford University, Department of Sociology, 450 Serra Mall, Building 120, Room 160, Stanford, CA 94305, United States"
Raine Hoover,"Stanford University, Computer Science Department, 353 Serra Mall, Stanford, CA 94305, United States"
Meera Vengadasubbu,"Stanford University, Computer Science Department, 353 Serra Mall, Stanford, CA 94305, United States"
Jasper L. de Bie,"Institute for Criminal Law & Criminology, Leiden Law School, Leiden University, Leiden, The Netherlands"
Christianne J. de Poot,"Research and Documentation Centre, Ministry of Security & Justice, The Hague, The Netherlands"
Joshua D. Freilich,"Criminal Justice Department and the Criminal Justice PhD Program at John Jay College, City University of New York, United States"
Steven M. Chermak,"School of Criminal Justice at Michigan State University, East Lansing, United States"
José Atilano Pena-López,"Applied Economics Department, University of A Coruña, Spain"
Jose Manuel Sánchez-Santos,"Applied Economics Department, University of A Coruña, Spain"
Charles Weko,"Headquarters, Department of the Army, United States Army, United States"
Yunpeng Zhao,"Department of Statistics, George Mason University, United States"
James D. Wilson,"Department of Mathematics and Statistics, University of San Francisco, United States"
Matthew J. Denny,"Department of Political Science and Social Data Analytics, Pennsylvania State University, United States"
Shankar Bhamidi,"Department of Statistics and Operations Research, University of North Carolina, United States"
Renáta Hosnedlová,"LISST, CNRS and University of Toulouse, France"
Stephanie Thiemichen,"Institut für Statistik Ludwigs-Maximilians-Universität München, University of Munich Germany"
Göran Kauermann,"Institut für Statistik Ludwigs-Maximilians-Universität München, University of Munich Germany"
Nicolò Pecora,"Department of Economics and Social Sciences, Catholic University, Via E. Parmense, 84, 29122 Piacenza, Italy"
Bernhard Leidner,"University of Massachusetts Amherst, United States"
Michela Del Vicario,"CSSLab, IMT School for Advanced Studies, Lucca, Italy"
Fabiana Zollo,"CSSLab, IMT School for Advanced Studies, Lucca, Italy"
Guido Caldarelli,"CSSLab, IMT School for Advanced Studies, Lucca, Italy"
Antonio Scala,"ICS CNR, Italy"
Walter Quattrociocchi,"CSSLab, IMT School for Advanced Studies, Lucca, Italy"
Joshua Embree,"RAND Corporation, USA"
Marc Punkay,"University of Chicago Urban Labs, USA"
Dorothy Espelage,"University of Florida, USA"
Joan S. Tucker,"RAND Corporation, USA"
Harold D. Green Jr.,"RAND Corporation, USA"
C. Deniz Yenigün,"Department of Industrial Engineering, Istanbul Bilgi University, 34060 Eyüp, Istanbul, Turkey"
Günes Ertan,"Department of International Relations, Koç University, Sarıyer 34450, Istanbul, Turkey"
Chloé Meredith,"Educational Effectiveness and Evaluation, KU Leuven, Dekenstraat 2, Post Box 3773, 3000 Leuven, Belgium"
Wim van den Noortgate,"Methodology of Educational Sciences, KU Leuven, Tiensestraat 102, Post Box 7654, 3000 Leuven, Belgium"
Charlotte Struyve,"Educational Effectiveness and Evaluation, KU Leuven, Dekenstraat 2, Post Box 3773, 3000 Leuven, Belgium"
Sarah Gielen,"Educational Effectiveness and Evaluation, KU Leuven, Dekenstraat 2, Post Box 3773, 3000 Leuven, Belgium"
Eva Kyndt,"Professional Learning & Development, Corporate Training and Lifelong Learning, KU Leuven, Dekenstraat 2, Post Box 3772, 3000 Leuven, Belgium"
Thomas W. Valente,"Department of Preventive Medicine, Keck School of Medicine, University of Southern California, Los Angeles, CA, USA"
Ulrik Brandes,"Department of Computer & Information Science, University of Konstanz, Germany"
Anton Grau Larsen,"Department of Business and Politics, Copenhagen Business School, Denmark"
Christoph Houman Ellersgaard,"Department of Business and Politics, Copenhagen Business School, Porcelænshaven 24, 0.57, 2000 Frederiksberg C, Denmark"
Andreas Herz,"University of Hildesheim, Institute for Social Pedagogy and Organization Sciences, Universitätsplatz 1, 31141 Hildesheim, Germany"
Sören Petermann,"Ruhr-Universität Bochum, Ruhr-University Bochum, Fakultät für Sozialwissenschaft, Universitätsstraße 150, 44801 Bochum, Germany"
Norman Conti,"Department of Sociology, Duquesne University, United States"
Lampros Bouranis,"School of Mathematical Sciences & Insight Centre for Data Analytics, University College Dublin, Ireland"
Nial Friel,"School of Mathematical Sciences & Insight Centre for Data Analytics, University College Dublin, Ireland"
Florian Maire,"School of Mathematical Sciences & Insight Centre for Data Analytics, University College Dublin, Ireland"
Rémi Boivin,"CICC/École de criminologie, Université de Montréal, University of Montreal, Canada"
Yanick Charette,"Yale Institute for Network Science and Université Laval, USA"
Thomas Grund,"University College Dublin, School of Sociology, Ireland"
Sara Bastomski,"Department of Sociology, Yale University, PO Box 208265, New Haven, CT, 06520-8265, United States"
Noli Brazil,"Spatial Sciences Institute, University of Southern California, 3616 Trousdale Parkway, Los Angeles, CA, 90089-0375, United States"
Andrew V. Papachristos,"Department of Sociology, Yale University, PO Box 208265, New Haven, CT, 06520-8265, United States"
Corina Graif,"Department of Sociology and Criminology, Pennsylvania State University, United States"
Alina Lungeanu,"Population Research Institute, Pennsylvania State University, United States"
Alyssa M. Yetter,"Department of Sociology and Criminology, Pennsylvania State University, United States"
Adam Boessen,"Department of Criminology and Criminal Justice, University of Missouri—St. Louis, 531 Lucas Hall, One University Blvd., St. Louis, MO, 63121, United States"
John R. Hipp,"Department of Criminology, Law, and Society, University of California - Irvine, United States"
Nicholas N. Nagle,"Department of Geography, University of Tennessee, Knoxville, United States"
Emily Smith,"Department of Sociology, University of California - Irvine, United States"
N. Lancki,"Department of Medicine, University of Chicago, United States"
Jacob T. N. Young,"Arizona State University, United States"
Derek Kreager,"Pennsylvania State University, United States"
Giulia Berlusconi,"National University of Ireland, Maynooth, Department of Law, New House, Maynooth, Co. Kildare, Ireland"
Alberto Aziani,"Università Cattolica del Sacro Cuore and Transcrime, Largo Agostino Gemelli 1, 20123 Milano, Italy"
Luca Giommoni,"Cardiff University, School of Social Sciences, Glamorgan Building, King Edward VII Avenue, Cardiff, CF10 3WT, United Kingdom"
Masarah Paquet-Clouston,"Centre international de criminologie comparée/School of Criminology, Université de Montréal, University of Montreal, Canada"
Chloé Provost,"Centre international de criminologie comparée/School of Criminology, Université de Montréal, University of Montreal, Canada"
Aili Malm,"California State University at Long Beach, 1250 Bellflower Blvd, LongBeach, CA, 90840, USA"
Tom Decorte,"University of Gent, St. Pietersnieuwstraat 33, 9000 Gent, Belgium"
Marieke Vlaemynck,"University of Gent, St. Pietersnieuwstraat 33, 9000 Gent, Belgium"
Marije Wouters,"University of Amsterdam, PO Box 1030, 1012 CP, the Netherlands"
Caitlin E. Hughes,"National Drug and Alcohol Research Centre, UNSW Australia"
Jenny Chalmers,"National Drug and Alcohol Research Centre, UNSW Australia"
Daniel DellaPosta,"Department of Sociology, Cornell University, United States"
Maxime Reeves-Latour,"School of Criminology, Université de Montréal, University of Montreal, Canada"
Mackenzie Hart,"Simon Fraser University, School for International Studies, 8888 University Drive, Burnaby BC, V5A 1S6, Canada"
Alexander Gutfraind,"University of Illinois at Chicago, Loyola University Medical Center, Uptake Technologies, Inc., United States"
Michael Genkin,"School of Social Sciences, Singapore Management University, Singapore"
Sarah K. Cowan,"Department of Sociology, New York University, United States"
Delia Baldassarri,"Department of Sociology, New York University, United States"
Neha P. Shah,"Management and Global Business Department, Rutgers Business School – Newark and New Brunswick, Rutgers University, 1 Washington Park, Newark, NJ, 07102, United States"
Daniel Z. Levin,"Management and Global Business Department, Rutgers Business School – Newark and New Brunswick, Rutgers University, 1 Washington Park, Newark, NJ, 07102, United States"
Rob Cross,"Babson College, 125 Tomasso Hall, Babson Park, Massachusetts 02457-0310, United States"
Felicia F. Tian,"Department of Sociology, Fudan University, China"
Matthew J. Silk,"Environment and Sustainability Institute, University of Exeter, Penryn, Cornwall, UK"
Kathleen M. O'Connor,"Samuel Curtis Johnson Graduate School of Management, Cornell University, United States"
Eric Gladstone,"Gatton College of Business and Economics LINKS Center for SNA, University of Kentucky, United States"
Sandro Sperandei,"Institute of Scientific and Technological Communication & Information in Health, Oswaldo Cruz Foundation, Brazil"
Leonardo Soares Bastos,"Scientific Computational Program, Oswaldo Cruz Foundation (FIOCRUZ), Brazil"
Marcelo Ribeiro-Alves,"National Institute of Infectious Diseases Evandro Chagas, Oswaldo Cruz Foundation (FIOCRUZ), Brazil"
Francisco I. Bastos,"Institute of Scientific and Technological Communication & Information in Health, Oswaldo Cruz Foundation, Brazil"
Michael Withers,"Department of Management, Mays Business School, Texas A&M University, College Station, TX 77843.4221, United States"
Ji Youn (Rose) Kim,"Department of Management, Gatton College of Business & Economics, University of Kentucky, Lexington, KY 40506, United States"
Michael Howard,"Department of Management, Mays Business School, Texas A&M University, College Station, TX 77843.4221, United States"
Nikki van Gerwen,"Department of Sociology / ICS, Utrecht University, The Netherlands"
Mary Selden,"University of Georgia, United States"
Adam Goodie,"University of Georgia, United States"
Qiwen Zheng,"University of Maryland - College Park, College Park, MD 20742, United States"
Daniel K. Sewell,"Department of Biostatistics, University of Iowa, Iowa City, IA 52242, United States"
Denis Bouyssou,"CNRS and Université Paris Dauphine, University Paris-Dauphine, France"
Thierry Marchant,"Ghent University, Belgium"
Josef Woldense,"878 Social Science Building, Department of African American & African Studies and Political Science, University Minnesota, Minneapolis, MN 55455, United States"
Michael D. Siciliano,"Department of Public Administration, University of Illinois at Chicago, 400 S. Peoria Street, Suite 2100 (MC 278), Chicago, IL 60607, United States"
Eric W. Welch,"Center for Science, Technology, and Policy Studies, School of Public Affairs, Arizona State University, Phoenix, AZ 85004, United States"
Mary K. Feeney,"School of Public Affairs, Arizona State University, Phoenix, AZ 85004, United States"
James Hollway,"Department of International Relations/Political Science, Graduate Institute Geneva, Switzerland"
William P. Eveland,"School of Communication, The Ohio State University, 3139 Derby Hall, 154 N. Oval Mall, Columbus, OH 43210, USA"
Osei Appiah,"School of Communication, The Ohio State University, 3050 Derby Hall, 154 N. Oval Mall, Columbus, OH 43210, USA"
Paul A. Beck,"Dept. of Political Science, The Ohio State University, 2189 Derby Hall, 154 N. Oval Mall, Columbus, OH 43210, USA"
Kenneth S. Berenhaut,"Wake Forest University, 1834 Wake Forest Rd, Winston Salem, NC, USA"
Rebecca C. Kotsonis,"Wake Forest University, 1834 Wake Forest Rd, Winston Salem, NC, USA"
Hongyi Jiang,"Wake Forest University, 1834 Wake Forest Rd, Winston Salem, NC, USA"
Zachary Navabi,"Department of Political Science, The Ohio State University, 2140 Derby Hall, 154 N. Oval Mall, Columbus, OH 43210, United States"
Johanne Saint-Charles,"Département de communication sociale et publique, Centre de recherche interdisciplinaire sur le bien-être, la santé, la société et l'environnement (CINBIOSE), Université du Québec à Montréal, University of Quebec in Montreal, Case Postale 8888, succ. Centre-Ville, Montréal, Québec, H3C 3P8, Canada"
Pierre Mongeau,"Département de communication sociale et publique, Université du Québec à Montréal, University of Quebec in Montreal, Case Postale 8888, succ. Centre-Ville, Montréal, Québec, H3C 3P8, Canada"
Scott W. Duxbury,"The Ohio State University, USA"
David Kretschmer,"Chair of General Sociology, University of Mannheim, Germany"
Lars Leszczensky,"Chair of General Sociology, University of Mannheim, Germany"
Sebastian Pink,"Chair of General Sociology, University of Mannheim, Germany"
Itaru Ishiguro,"Department of Psychology, Faculty of Integrated Arts and Social Science, Japan Women's University, 1-1-1, Nishi-ikuta, Tama-ku, Kawasaki, Kanagawa, Zip 2148565, Japan"
Marco T. Bastos,"City, University of London, Department of Sociology, Northampton Square, London EC1 V0HB, UK"
Carlo Piccardi,"Politecnico di Milano, Department of Electronics, Information and Bioengineering, Piazza Leonardo da Vinci, 32, I-20133 Milano, Italy"
Michael Levy,"University of California - Davis, Department of Environmental Science and Policy, One Shields Ave, Davis, CA 95616, USA"
Neil McRoberts,"University of California - Davis, Plant Pathology Department, One Shields Ave, Davis, CA 95616, USA"
Mark Lubell,"University of California - Davis, Department of Environmental Science and Policy, One Shields Ave, Davis, CA 95616, USA"
Miranda J. Lubbers,"Autonomous University of Barcelona, Department of Social and Cultural Anthropology, Building B, Faculty of Arts, Office B9-229, 08193, Bellaterra (Cerdanyola del Vallès), Barcelona, Spain"
Valentin Danchev,"Oxford Department of International Development, University of Oxford, 3 Mansfield Rd, Oxford OX1 3TB, UK"
Mason A. Porter,"Department of Mathematics, University of California - Los Angeles, CA 90095, USA"
Michael Windzio,"University of Bremen, SOCIUM – Research Center on Inequality and Social Policy, Bremen, P.O. Box 330440, D-28334, Germany"
Marieke Wissink,"Maastricht University, Faculty of Arts and Social Sciences, P.O. Box 616, 6200 MD Maastricht, The Netherlands"
Valentina Mazzucato,"Maastricht University, Faculty of Arts and Social Sciences, P.O. Box 616, 6200 MD Maastricht, The Netherlands"
Pamela A. Popielarz,"Department of Sociology (m/c 312), 1007 W. Harrison St., University of Illinois at Chicago, Chicago, IL 60607, USA"
Tünde Cserpes,"Department of Sociology (m/c 312), 1007 W. Harrison St., University of Illinois at Chicago, Chicago, IL 60607, USA"
Ashton M. Verdery,"Department of Sociology and Criminology, The Pennsylvania State University, United States"
Ted Mouw,"Department of Sociology, The University of North Carolina at Chapel Hill, United States"
Heather Edelblute,"Department of Sociology, University of Texas at San Antonio, United States"
Sergio Chavez,"Department of Sociology, Rice University, United States"
Basak Bilecen,"Bielefeld University, Faculty of Sociology, Universitätsstr. 25, 33615 Bielefeld, Germany"
Andrés Cardona,"Bielefeld University, Faculty of Sociology, Universitätsstr. 25, 33615 Bielefeld, Germany"
Sara Bojarczuk,"Department of Sociology, Trinity College Dublin, Ireland"
Peter Mühlau,"Department of Sociology, Trinity College Dublin, Ireland"
Romina Cachia,"Universidad de Sevilla, Sevilla University, Sevilla University, Departamento de Psicología Social, Laboratorio de Redes Personales y Comunidades, Sevilla, Spain"
Olga Kornienko,"Department of Psychology, Arizona State University, United States"
Victor Agadjanian,"Department of Sociology, University of Kansas, United States"
Cecilia Menjívar,"Department of Sociology, University of Kansas, United States"
Natalia Zotova,"Department of Anthropology, Ohio State University, United States"
Elena Sommer,"Bremen International Graduate School of Social Sciences (BIGSSS), Germany"
Markus Gamper,"Faculty of Arts and Humanities, University of Cologne, Germany"
Louise Ryan,"Dept of Sociological Studies, Elmfield, University of Sheffield, Sheffield, ST10 2TU, United Kingdom"
Alessio D'Angelo,"Social Policy Research Centre, Middlesex University, Hendon Campus, London, NW4 4BT, United Kingdom"
Claire Bidart,"Aix Marseille Univ, CNRS, LEST, UMR 7317, 35 Avenue Jules Ferry, 13626 Aix en Provence, France"
Alain Degenne,"CNRS, 2 rue des Fusillés, 37000 Tours, France"
Michel Grossetti,"CNRS, EHESS, Université de Toulouse UT2J, LISST-Cers, UMR 5193, 5 allées A. Machado, 31058 Toulouse Cedex 09, France"
Sonja Opper,"Department of Economics, Lund University, Lund, Sweden"
Terrence D. Jorgensen,"Department of Child Education and Development, University of Amsterdam, Postbus 15776, 1001NG Amsterdam, the Netherlands"
K. Jean Forney,"Florida State University, 1107 W Call St, Tallahassee, FL 32306, USA"
Jeffrey A. Hall,"University of Kansas, Bailey Hall, 1440 Jayhawk Blvd. Rm 102, Lawrence, KS 66045, USA"
Steven M. Giles,"Wake Forest University, 1834 Wake Forest Road, 125 Carswell Hall, Winston-Salem, NC 27109, USA"
Sara Ahajjam,"Laboratory of Information and Communication Technologies, National School of Applied Sciences, ENSA, Tangier, Morocco"
Mohamed El Haddad,"Laboratory of Information and Communication Technologies, National School of Applied Sciences, ENSA, Tangier, Morocco"
Hassan Badir,"Laboratory of Information and Communication Technologies, National School of Applied Sciences, ENSA, Tangier, Morocco"
David Schoch,"ETH Zürich, ETH Zurich Department of Humanities, Social and Political Sciences Chair of Social Networks Weinbergstraße 109 8006 Zürich, Switzerland"
Niccolò Casnici,"Department of Economics and Management, University of Brescia, Via San Faustino, 74/B, 25122 Brescia, Italy"
Kathrin Büttner,"Institute of Animal Breeding and Husbandry, Christian-Albrechts-University, Olshausenstr. 40, D-24098 Kiel, Germany"
Jennifer Salau,"Institute of Animal Breeding and Husbandry, Christian-Albrechts-University, Olshausenstr. 40, D-24098 Kiel, Germany"
Joachim Krieter,"Institute of Animal Breeding and Husbandry, Christian-Albrechts-University, Olshausenstr. 40, D-24098 Kiel, Germany"
Yanjie Bian,"Xi'an Jiaotong University, China"
Eva Vriens,"Department of Sociology/ICS, Utrecht University, The Netherlands"
Kayo Fujimoto,"Center for Health Promotion and Prevention Research, Department of Health Promotion & Behavioral Sciences, Department of Biostatistics and Data Science, School of Public Health, The The University of Texas Health Science Center at Houston, 7000 Fannin Street, UCT 2514, Houston, TX 77030-5401, United States"
Ming Cao 0005,"Center for Health Promotion and Prevention Research, Department of Health Promotion & Behavioral Sciences, Department of Biostatistics and Data Science, School of Public Health, The The University of Texas Health Science Center at Houston, 7000 Fannin Street, UCT 2514, Houston, TX 77030-5401, United States"
Lisa M. Kuhns,"Division of Adolescent Medicine, Ann & Robert H. Lurie Children's Hospital, Chicago, IL, United States"
Dennis Li,"Center for Health Promotion and Prevention Research, Department of Health Promotion & Behavioral Sciences, Department of Biostatistics and Data Science, School of Public Health, The The University of Texas Health Science Center at Houston, 7000 Fannin Street, UCT 2514, Houston, TX 77030-5401, United States"
Iain S. Weaver,"School of Computer Science, University of Exeter, Exeter EX4 4QF, UK"
Hywel T. P. Williams,"School of Computer Science, University of Exeter, Exeter EX4 4QF, UK"
Iulia Cioroianu,"Department of Politics, University of Exeter, Exeter EX4 4RJ, UK"
Travis Coan,"Department of Politics, University of Exeter, Exeter EX4 4RJ, UK"
Susan Banducci,"Department of Politics, University of Exeter, Exeter EX4 4RJ, UK"
Daniel J. Brass,"Department of Management, University of Kentucky, United States"
Patrizia Vecchi,"Olin Business School, Washington University in St. Louis, United States"
Brooke Foucault Welles,"Northeastern University, 360 Huntington Avenue, 204 Lake Hall, Boston, MA, 02115, USA"
Weiai Xu,"University of Massachusetts at Amherst, N308 Integrative Learning Center, 650 N. Pleasant Street, Amherst, MA, 01003-1100, USA"
Lucia Falzon,"Defence Science and Technology Group, Department of Defence, Australia"
John Dunn,"Defence Science and Technology Group, Department of Defence, Australia"
Garry Robins,"School of Psychological Sciences, The University of Melbourne, Australia"
Nikita Basov,"Centre for German and European Studies, St. Petersburg State University, Universitetskaya 7/9, St Petersburg, 199034, Russia"
Jake Bowers,"Departments of Political Science and Statistics, University of Illinois at Urbana-Champaign, United States"
Mark Frederickson,"Departments of Political Science and Statistics, University of Illinois at Urbana-Champaign, United States"
Nahomi Ichino,"Department of Political Science, University of Michigan, United States"
Hsuan-Wei Lee,"Department of Sociology, University of Nebraska-Lincoln, United States"
Simi Wang,"Department of Applied Mathematics, University of North Carolina at Chapel Hill, United States"
Lisha Yu,"Department of System Engineering and Engineering Management, City University of Hong Kong, Kowloon, Hong Kong"
William H. Woodall,"Department of Statistics, Virginia Tech, Blacksburg, VA, USA"
Kwok-Leung Tsui,"Department of System Engineering and Engineering Management, City University of Hong Kong, Kowloon, Hong Kong"
Mauro Barone,"Agenzia delle Entrate – Ufficio Studi Economico-Statistici, Via C. Colombo 426 c/d, 00145 Roma, Italy"
Michele Coscia,"Naxys – University of Namur, Rempart de la Vierge 8, 5000 Namur, Belgium"
Laurence Brandenberger,"Institute of Political Science, University of Bern, Switzerland"
Giangiacomo Bravo,"Department of Social Studies and Centre for Data Intensive Sciences and Applications, Linnaeus University, Universitetsplatsen 1, 35195 Växjö, Sweden"
Flaminio Squazzoni,"Department of Economics and Management, University of Brescia, Via San Faustino 74B, 25122 Brescia, Italy"
Thijs A. Velema,"Department of Business Management, National Sun Yat-sen University, Kaohsiung, Taiwan"
Jing-Shiang Hwang,"Institute of Statistical Science, Academia Sinica, 128 Academia Rd. Sec. 2, Nankang 115, Taipei, Taiwan"
Giacomo Solano,"School of Innovation Sciences, Eindhoven University of Technology, P.O. Box 513, 5600 MB, Eindhoven, The Netherlands"
Gerrit Rooks,"School of Innovation Sciences, Eindhoven University of Technology, P.O. Box 513, 5600 MB, Eindhoven, The Netherlands"
Ji Ma 0003,"Indiana University Lilly Family School of Philanthropy, 301 N. University Boulevard, Indianapolis, IN 46202, USA"
Simon DeDeo,"Department of Social and Decision Sciences, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213, USA"
Iris Wanzenböck,"Copernicus Institute of Sustainable Development, Innovation Studies Group, Utrecht University, The Netherlands"
Pablo Piedrahíta,"Institute for Biocomputation and Physics of Complex Systems and Department of Theoretical Physics, University of Zaragoza, Spain"
Javier Borge-Holthoefer,"Internet Interdisciplinary Institute (IN3), Open University of Catalonia, Spain"
Yamir Moreno,"Institute for Biocomputation and Physics of Complex Systems and Department of Theoretical Physics, University of Zaragoza, Spain"
Sandra González-Bailón,"Annenberg School for Communication, University of Pennsylvania, USA"
Yan-An Hwang,"Department of Applied Mathematics, National Dong Hwa University, Hualien 974, Taiwan"
Philippe Ramirez,"Centre d'Etudes Himalayennes, CNRS, F—94800, Villejuif, France"
Stéphane Legendre,"Institut de Biologie de l'Ecole Normale Supérieure (IBENS), CNRS, INSERM, Ecole Normale Supérieure, PSL Research University, F—75005, Paris, France"
Jake Burchard,"Cornell University, 342 Uris Hall, Ithaca, NY, 14853-7601, United States"
Benjamin Cornwell,"Cornell University, 342 Uris Hall, Ithaca, NY, 14853-7601, United States"
Carlo Morselli,"Centre international de criminologie comparée/École de criminologie, Université de Montréal, University of Montreal, Canada"
Marie Ouellet,"Centre international de criminologie comparée/École de criminologie, Université de Montréal, University of Montreal, Canada"
Katarzyna Growiec,"University of Social Sciences and Humanities, Department of Psychology of Personality, Warsaw, Poland"
Jakub Growiec,"SGH Warsaw School of Economics, Department of Quantitative Economics, Poland"
Bogumil Kaminski,"SGH Warsaw School of Economics, Institute of Econometrics, Decision Analysis and Support Unit, Poland"
Hannah Schmid-Petri,"Universität Passau, University of Passau, Innstr. 33a, 94030 Passau, Germany"
Silke Adam,"Universität Bern, University of Bern, Fabrikstrasse 8, 3008 Bern, Switzerland"
